Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,C23733
"C10, C12, C13, C15, C6, C7, C8, C9",0402,8,100n,C307331
"C11, C4, C5",0402,3,1u,C52923
C14,0402,1,220p,C1530
D1,SOT-143,1,PRTR5V0U2X,C2827688
F_USBC1,1206,1,500mA,C70076
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,C160404
"R1, R2, R8, R9",0402,4,100,C25076
"R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R21, R5",0402,12,100k,C25741
"R18, R24",0402,2,5.1k,C25905
R23,0402,1,1k,C11702
"R3, R6",0402,2,10k,C25744
R4,0402,1,100k,C25741
R7,0402,1,10k,C25744
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,C118825
U2,SOT-23,1,XC6206PxxxMR,C5446
"U3, U4",TSSOP16,2,74HC4051,C5645
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA350,C13388
USB1,TYPEC-304YSSW-ACP16,1,TYPEC-304YSSW-ACP16,C2840392
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8 MHz,C907975
