Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,
"C10, C12, C13, C15, C6, C7, C8, C9",0402,8,100n,
"C11, C4, C5",0402,3,1u,
C14,0402,1,220p,
D1,SOT-143,1,PRTR5V0U2X,
F_USBC1,1206,1,500mA,
"H1, H10, H11, H12, H13, H14, H15, H16, H17, H2, H3, H4, H5, H6, H7, H8, H9",HOLE_M2,17,MountingHole,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
JP1,0603,1,Ext_Res,
"R1, R2, R8, R9",0402,4,100,C25076
"R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R21, R5",0402,12,100k,
"R18, R24",0402,2,5.1k,C25905
R23,0402,1,1k,
"R3, R6",0402,2,10k,
R4,0402,1,100k,C25741
R7,0402,1,10k,C25744
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW4, SW5, SW6, SW7, SW8, SW9",ecs_pad_1U_no_ring,37,EC_SW,
SW38,PinHeader_1x02_P2.54mm_Vertical,1,BOOT0,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,C118825
U2,SOT-23,1,XC6206PxxxMR,
"U3, U4",TSSOP16,2,74HC4051,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA350,
USB1,TYPEC-304YSSW-ACP16,1,TYPEC-304YSSW-ACP16,C2840392
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8 MHz,C907975
