Designator,Mid X,Mid Y,Rotation,Layer
C1,147.885,-110.617,90.0,bottom
C10,150.047,-118.02,270.0,bottom
C11,151.063,-118.02,270.0,bottom
C12,203.089436,-104.534305,180.0,bottom
C13,88.9,-104.48582,0.0,bottom
C14,140.6525,-112.7125,0.0,bottom
C15,149.031,-118.02,270.0,bottom
C4,95.123,-68.326,270.0,bottom
C5,127.508,-69.85,90.0,bottom
C6,157.41,-117.983,270.0,bottom
C7,147.504,-108.331,0.0,bottom
C8,157.791,-109.474,180.0,bottom
C9,157.791,-115.663994,180.0,bottom
D1,83.693,-60.579,180.0,bottom
F_USBC1,92.075,-68.453,180.0,bottom
J1,85.949065,-66.87469,90.0,bottom
R1,148.463,-106.387,90.0,bottom
R10,174.625,-101.6,90.0,bottom
R11,98.425,-101.6,90.0,bottom
R12,157.95625,-101.6,90.0,bottom
R13,75.795148,-107.15625,0.0,bottom
R14,208.548088,-112.068447,270.0,bottom
R15,69.088,-100.0125,90.0,bottom
R16,234.15625,-99.887387,270.0,bottom
R17,117.475,-101.6,90.0,bottom
R18,81.28,-55.84625,90.0,bottom
R19,136.525,-101.6,90.0,bottom
R2,151.511,-106.387,270.0,bottom
R20,193.675,-101.6,90.0,bottom
R21,146.842687,-119.390501,180.0,bottom
R23,142.082312,-119.390501,0.0,bottom
R24,84.201,-55.84625,270.0,bottom
R3,157.41,-114.173,270.0,bottom
R4,153.035,-105.918,180.0,bottom
R5,222.656885,-107.164145,180.0,bottom
R6,150.679,-119.507,180.0,bottom
R7,146.742,-110.617,270.0,bottom
R8,150.495,-106.387,270.0,bottom
R9,149.479,-106.387,90.0,bottom
U1,152.654,-112.903,180.0,bottom
U2,124.714,-69.469,180.0,bottom
U3,205.58125,-107.95,270.0,bottom
U4,92.86875,-107.95,270.0,bottom
U5,144.374097,-116.215501,90.0,bottom
USB1,82.55,-45.98125,180.0,bottom
Y1,154.616,-118.745,180.0,bottom
